(145390, 30)
(145390, 1)
(48840, 30)
(48840, 30)
ssdad (145390, 30)
ssdad (145390, 1)
sss (4690, 31, 30)
sss (4690, 31)
sss (1628, 30, 30)
sss (1628, 30)
에포크: 1, 손실: 0.3737125098705292, 정확도: 83.22895050048828, 테스트 손실: 0.33920416235923767, 테스트 정확도: 85.01277923583984
에포크: 2, 손실: 0.3305109143257141, 정확도: 85.46703338623047, 테스트 손실: 0.3444216251373291, 테스트 정확도: 85.05964660644531
에포크: 3, 손실: 0.2948535084724426, 정확도: 87.2430648803711, 테스트 손실: 0.36860084533691406, 테스트 정확도: 84.79179382324219
에포크: 4, 손실: 0.26212939620018005, 정확도: 88.82609558105469, 테스트 손실: 0.4105166792869568, 테스트 정확도: 84.36682891845703
에포크: 5, 손실: 0.235037162899971, 정확도: 90.07011413574219, 테스트 손실: 0.45978453755378723, 테스트 정확도: 83.83309173583984
에포크: 6, 손실: 0.212680846452713, 정확도: 91.06694030761719, 테스트 손실: 0.5026017427444458, 테스트 정확도: 83.53814697265625
에포크: 7, 손실: 0.19476063549518585, 정확도: 91.84855651855469, 테스트 손실: 0.538935661315918, 테스트 정확도: 83.33721923828125
에포크: 8, 손실: 0.17987249791622162, 정확도: 92.49528503417969, 테스트 손실: 0.573153555393219, 테스트 정확도: 83.20256805419922
에포크: 9, 손실: 0.16761915385723114, 정확도: 93.02558898925781, 테스트 손실: 0.6060503125190735, 테스트 정확도: 83.09245300292969
에포크: 10, 손실: 0.1571132242679596, 정확도: 93.48035430908203, 테스트 손실: 0.632699728012085, 테스트 정확도: 83.01659393310547
Elapsed Time 1487.1728584766388
