(145390, 30)
(145390, 1)
(48852, 30)
(48852, 30)
에포크: 1, 손실: 0.3747316598892212, 정확도: 83.08893585205078, 테스트 손실: 0.34090346097946167, 테스트 정확도: 84.96683502197266
에포크: 2, 손실: 0.33252501487731934, 정확도: 85.36109924316406, 테스트 손실: 0.3387307822704315, 테스트 정확도: 85.19712829589844
에포크: 3, 손실: 0.3020433187484741, 정확도: 86.88768005371094, 테스트 손실: 0.3457276523113251, 테스트 정확도: 85.17631530761719
에포크: 4, 손실: 0.27553030848503113, 정확도: 88.17060852050781, 테스트 손실: 0.3590107858181, 테스트 정확도: 84.99191284179688
에포크: 5, 손실: 0.25172677636146545, 정확도: 89.29183197021484, 테스트 손실: 0.38628852367401123, 테스트 정확도: 84.85711669921875
에포크: 6, 손실: 0.2305300235748291, 정확도: 90.25907897949219, 테스트 손실: 0.4123455882072449, 테스트 정확도: 84.7143783569336
에포크: 7, 손실: 0.211732879281044, 정확도: 91.09468841552734, 테스트 손실: 0.4456234574317932, 테스트 정확도: 84.50801849365234
에포크: 8, 손실: 0.19530412554740906, 정확도: 91.81932830810547, 테스트 손실: 0.48179152607917786, 테스트 정확도: 84.36502075195312
에포크: 9, 손실: 0.18097707629203796, 정확도: 92.43980407714844, 테스트 손실: 0.5172622799873352, 테스트 정확도: 84.25152587890625
에포크: 10, 손실: 0.1683688759803772, 정확도: 92.9819107055664, 테스트 손실: 0.5543825030326843, 테스트 정확도: 84.1263427734375
Elapsed Time 1452.6427199840546
